,season,field,p2o5,k2o,humus,ph,crop,region,yield_plan,yield_fact,кг_fert,л_fert,кг_pp,л_pp,fact_plan_diff
58,2023,22.47.11.023.00,353.5,291.8,3.5,5.2,Соя,Алтай,1.4,1.42753829321663,173857.44,0.0,0.43,31.721428571428568,0.02753829321663015
6202,2024,54.17.08.017.00,286.0,92.3,2.0,4.6,Одн.тр.оз.рожь корм,Новосибирск,4.1,1.09,6927943.64,0.0,0.0,0.0,-3.01
6206,2024,54.17.08.022.00,140.5,303.7,1.5,4.3,Оз.пшеница мягкая,Новосибирск,3.3,1.0149473938807596,739123.34,0.0,2.69,66.78375,-2.2850526061192404
2113,2023,46.22.03.034.01,75.56,101.68,5.8,6.43,Яр.ячмень,Курск,5.37,18.505659917052938,327795.0,0.0,1.6,23.98625,13.135659917052937
66,2023,22.47.11.030.01,344.7,178.7,2.8,5.2,Одн.тр.(вика+овёс)корм,Алтай,3.0,3.26,0.0,0.0,8.66,173.13666666666666,0.2599999999999998
67,2023,22.47.11.030.02,344.7,178.7,2.8,5.2,Яр.ячмень,Алтай,3.33,2.017419241573034,1376268.3499999999,0.0,4.4399999999999995,59.23999999999999,-1.3125807584269662
69,2023,22.47.11.032.00,340.8,120.7,3.5,5.2,Соя,Алтай,1.4,1.0669588726855646,908108.71,0.0,7.87,66.83375,-0.33304112731443536
70,2023,22.47.11.033.01,304.0,147.5,3.2,5.2,Соя,Алтай,1.4,1.3967108851057557,1658135.97,0.0,0.95,97.76285714285713,-0.003289114894244216
71,2023,22.47.11.033.02,304.0,147.5,3.2,5.2,Яр.ячмень,Алтай,3.33,2.2798580404933673,1691451.3733333333,0.0,39.1,159.04625,-1.0501419595066328
88,2023,36.01.21.017.00,120.0,116.0,5.4,5.7,Кукуруза силос,Воронеж,8.1,10.00666598001854,0.0,0.0,0.0,141.99,1.9066659800185395
6244,2024,54.17.11.002.00,393.0,110.0,8.5,4.9,Люцерна пр.лет корм,Новосибирск,4.1,0.7817406179835348,0.0,0.0,0.0,0.0,-3.318259382016465
6248,2024,54.17.11.013.00,296.5,201.5,7.4,5.8,Яр.пшеница мягкая,Новосибирск,2.6,0.6700713911356007,16448203.43,93608.06,0.0,279.2,-1.9299286088643994
6252,2024,54.17.12.002.00,242.8,286.0,7.3,5.4,Овёс,Новосибирск,2.8,1.2051490937439095,1012180.0,0.0,0.0,313.5075,-1.5948509062560903
6257,2024,54.17.12.009.00,185.0,303.0,7.0,5.7,Горох,Новосибирск,1.1,0.4380530973451327,0.0,0.0,0.0,58.09875,-0.6619469026548674
6260,2024,54.17.12.012.00,292.0,300.0,6.3,5.7,Горох,Новосибирск,1.1,0.4112820512820513,0.0,0.0,0.0,28.645000000000003,-0.6887179487179488
6269,2024,54.17.12.024.00,284.0,159.0,6.7,5.0,Кукуруза силос,Новосибирск,9.0,8.966382876382875,0.0,6467.19,81.08,40.55,-0.03361712361712499
126,2023,36.02.02.006.01,93.0,124.0,6.8,5.3,Кукуруза силос,Воронеж,7.65,10.26,0.0,0.0,0.0,0.0,2.6099999999999994
129,2023,36.02.02.008.00,127.0,134.0,6.3,5.4,Кукуруза силос,Воронеж,7.65,9.86,4416668.33,0.0,0.0,155.26666666666665,2.209999999999999
136,2023,36.02.02.021.01,182.0,168.0,4.55,6.0,Люцерна пр.лет корм,Воронеж,5.49,390.48999999999995,0.0,0.0,0.0,0.0,384.99999999999994
139,2023,36.02.02.026.00,100.0,107.0,7.5,5.4,Кукуруза силос,Воронеж,7.65,9.91,1810548.3,0.0,6.49,145.87,2.26
140,2023,36.02.02.027.00,92.0,123.0,7.1,5.4,Кукуруза корнаж,Воронеж,0.0,10.56,1086231.14,0.0,6.15,138.26500000000001,10.56
4241,2024,36.05.07.014.01,90.0,86.0,6.2,5.5,Кукуруза силос,Воронеж,7.5,5708.07,0.0,642.49,23.6,11.8,5700.57
148,2023,36.02.02.035.01,89.0,102.0,6.5,5.5,Кукуруза силос,Воронеж,7.65,9.91,0.0,0.0,8.28,186.23499999999999,2.26
149,2023,36.02.02.036.01,93.0,113.0,6.5,5.8,Кукуруза силос,Воронеж,7.65,10.07,0.0,0.0,5.37,120.72999999999999,2.42
4249,2024,36.05.07.023.00,123.0,121.0,5.5,6.0,Кукуруза силос,Воронеж,7.5,4107.954563106797,1970116.765,19065.65,128.54,51.415,4100.454563106797
4250,2024,36.05.07.024.00,146.0,110.0,5.9,6.1,Соя,Воронеж,2.1,602.7440098933375,0.0,0.0,2.02,206.63714285714286,600.6440098933375
4251,2024,36.05.07.026.01,129.0,89.0,6.2,6.0,Кукуруза силос,Воронеж,7.5,5796.646001348618,0.0,21447.32,154.31,121.485,5789.146001348618
4253,2024,36.05.07.029.00,135.0,94.0,5.7,6.1,Соя,Воронеж,2.1,683.350359281437,0.0,0.0,1.55,130.56833333333336,681.250359281437
4254,2024,36.05.07.030.01,107.0,85.0,6.3,5.6,Кукуруза силос,Воронеж,7.5,4758.7569808173475,0.0,16116.62,118.18,59.1,4751.2569808173475
6302,2024,54.17.12.072.01,295.1,157.6,5.2,5.3,Мн.травосм.пр.лет корм,Новосибирск,2.7,2.07,0.0,0.0,0.0,0.0,-0.6300000000000003
4256,2024,36.05.07.031.00,164.0,248.0,5.8,6.3,Кукуруза силос,Воронеж,7.5,6553.34,54700.685,420.9,19.1,7.216666666666666,6545.84
4258,2024,36.05.07.033.00,127.0,89.0,6.1,5.9,Кукуруза силос,Воронеж,7.5,3306.315164835165,3700136.46,36471.72,200.13,158.135,3298.815164835165
6306,2024,54.28.07.001.01,105.0,110.7,4.8,5.1,Люцерна пр.лет корм,Новосибирск,3.5,1452.2694428898499,0.0,0.0,0.0,0.0,1448.7694428898499
6307,2024,54.28.07.003.00,163.0,99.0,5.4,5.2,Люцерна пр.лет корм,Новосибирск,3.5,1588.6268342226215,0.0,0.0,0.0,0.0,1585.1268342226215
6309,2024,54.28.07.006.00,175.3,128.0,4.9,5.1,Кукуруза силос,Новосибирск,8.5,7930.72,86967.035,811.51,1.33,32.485,7922.22
6310,2024,54.28.07.011.00,200.0,208.5,4.9,5.0,Люцерна пр.лет корм,Новосибирск,3.5,1510.213160011491,0.0,0.0,0.0,0.0,1506.713160011491
6311,2024,54.28.07.012.00,192.7,108.0,4.45,5.1,Люцерна пр.лет корм,Новосибирск,5.5,1031.221085384916,0.0,0.0,0.0,0.0,1025.721085384916
4264,2024,36.05.07.038.02,90.0,79.0,6.0,5.9,Яр.ячмень,Воронеж,5.0,978.0799999999999,69778.57,0.0,0.74,9.2575,973.0799999999999
169,2023,36.02.02.057.01,53.0,78.0,6.05,5.75,Кукуруза силос,Воронеж,7.65,10.75,0.0,0.0,0.0,0.0,3.0999999999999996
6312,2024,54.28.07.013.01,162.0,100.0,4.95,4.95,Одн.тр.(вика+овёс)корм,Новосибирск,5.5,3548.971946968127,4230681.5,0.0,0.0,1098.21,3543.471946968127
6313,2024,54.28.07.013.02,162.0,100.0,4.95,4.95,Одн.тр.(вика+овёс)корм,Новосибирск,5.5,3519.2574172892205,571427.8,0.0,0.0,304.53,3513.7574172892205
6314,2024,54.28.07.014.00,126.0,144.0,6.5,4.8,Люцерна пр.лет корм,Новосибирск,5.0,878.1450000000001,0.0,0.0,0.0,0.0,873.1450000000001
173,2023,36.02.02.063.00,90.0,124.0,5.7,5.7,Кукуруза силос,Воронеж,7.65,9.89,3050178.91,0.0,181.78,90.03666666666668,2.24
6315,2024,54.28.07.015.00,372.0,394.3,2.7,4.7,Люцерна пр.лет корм,Новосибирск,5.0,1001.275,0.0,0.0,0.0,0.0,996.275
6316,2024,54.28.07.017.00,256.0,160.0,2.6,5.0,Люцерна пр.лет корм,Новосибирск,5.5,1413.3053081446772,0.0,0.0,0.0,0.0,1407.8053081446772
6317,2024,54.28.07.018.01,134.3,58.0,5.7,5.0,Одн.тр.(вика+овёс)корм,Новосибирск,6.5,4637.326655663297,1696112.81,0.0,12.6,285.65333333333336,4630.826655663297
6318,2024,54.28.07.018.02,134.3,58.0,5.7,5.0,Одн.тр.(вика+овёс)корм,Новосибирск,6.0,4207.234261416158,621859.11,0.0,7.029999999999999,159.39000000000001,4201.234261416158
6319,2024,54.28.07.019.00,216.6,121.4,5.2,5.2,Яр.ячмень,Новосибирск,3.2,611.5507518134365,19822232.669999998,0.0,37.4,352.2528571428571,608.3507518134364
4275,2024,36.05.07.050.00,87.0,90.0,5.6,5.9,Кукуруза силос,Воронеж,7.5,5054.693554006969,2831882.4,3148.14,78.22999999999999,44.379999999999995,5047.193554006969
4276,2024,36.05.07.052.00,71.0,66.0,5.7,5.6,Кукуруза силос,Воронеж,7.5,7297.787682357169,16878356.12,1510.47,36.18,18.1,7290.287682357169
6320,2024,54.28.07.020.00,215.0,205.0,4.5,4.9,Одн.тр.(вика+овёс)корм,Новосибирск,4.0,3146.5264163106217,1390173.29,0.0,0.0,867.17,3142.5264163106217
6321,2024,54.28.07.022.00,294.6,115.0,3.3,6.0,Оз.пшеница мягкая,Новосибирск,5.0,3.184120194910666,4824011.4,0.0,12.01,182.486,-1.815879805089334
184,2023,36.02.03.004.00,86.0,93.0,6.3,5.3,Кукуруза силос,Воронеж,8.1,7494.33,2414484.8899999997,236283.84,0.0,110.76400000000001,7486.23
185,2023,36.02.03.005.00,85.0,99.0,6.3,5.1,Кукуруза силос,Воронеж,8.1,7284.461849601214,157718.675,0.0,0.0,36.284,7276.361849601214
186,2023,36.02.03.006.00,89.0,127.0,5.3,5.4,Кукуруза силос,Воронеж,8.1,9259.08798918231,224734.71500000003,0.0,0.0,45.97,9250.98798918231
187,2023,36.02.03.007.00,71.0,125.0,5.6,5.2,Кукуруза силос,Воронеж,8.1,9464.185824893826,213300.45,74681.66,0.0,44.785,9456.085824893826
188,2023,36.02.03.009.00,89.0,138.67,5.57,5.4,Кукуруза силос,Воронеж,8.1,7256.020185507246,67695.47,30785.63,0.0,25.225,7247.920185507246
189,2023,36.02.03.010.00,133.0,142.0,6.1,6.2,Кукуруза силос,Воронеж,8.1,8075.205801956715,258829.685,0.0,0.0,49.33,8067.1058019567145
4281,2024,36.05.07.057.03,100.0,121.0,5.5,6.2,Кукуруза силос,Воронеж,7.5,78114.35,384.475,3.3,1.69,2.1999999999999997,78106.85
4282,2024,36.05.07.058.02,136.0,164.0,6.2,5.7,Кукуруза силос,Воронеж,7.5,15622.869999999999,43940.0,329.55,16.9,9.4025,15615.369999999999
4283,2024,36.05.07.059.02,79.0,65.0,5.8,6.5,Кукуруза силос,Воронеж,7.5,23893.8,0.0,140.89,11.05,5.53,23886.3
4284,2024,36.05.07.060.00,96.0,74.0,5.1,6.6,Кукуруза силос,Воронеж,7.5,3537.501450245426,49335.162500000006,0.0,29.42,22.333333333333332,3530.001450245426
4285,2024,36.05.07.061.01,119.0,110.0,5.6,6.1,Кукуруза силос,Воронеж,7.5,5581.3029753395285,343980.0,6106.47,72.75,36.37,5573.8029753395285
6343,2024,54.28.09.022.01,290.6,284.0,6.4,5.1,Яр.пшеница мягкая,Новосибирск,4.0,1.62,491955.0,0.0,2.56,62.886,-2.38
200,2023,36.02.03.022.02,99.0,105.0,6.7,5.7,Эсп.+костр.пр.лет корм,Воронеж,3.4,5059.19,0.0,0.0,0.0,0.0,5055.79
4296,2024,36.05.07.074.00,134.0,140.0,5.5,6.1,Кукуруза силос,Воронеж,7.5,9960.630014713093,59056.8725,0.0,0.0,70.2425,9953.130014713093
6344,2024,54.28.09.022.02,290.6,284.0,6.4,5.1,Яр.пшеница мягкая,Новосибирск,4.0,2.42,9874.2,0.0,0.0,6.645,-1.58
4301,2024,36.05.07.083.01,104.0,116.0,5.5,6.5,Кукуруза силос,Воронеж,7.5,114.17,3250.0,0.0,0.0,245.195,106.67
4304,2024,36.05.07.086.02,134.0,200.0,5.9,6.0,Сорго зерновое,Воронеж,3.4,752.68,249600.0,0.0,0.0,0.0,749.28
6352,2024,54.28.11.002.01,221.85,286.85,6.2,5.55,Яр.пшеница мягкая,Новосибирск,4.0,0.7447384788148405,1865985.06,0.0,0.0,260.63250000000005,-3.2552615211851594
4308,2024,36.05.07.091.01,97.0,107.0,5.5,6.4,Яр.ячмень,Воронеж,5.0,1261.763072118115,383573.62,0.0,3.2,39.22125,1256.763072118115
6356,2024,54.28.11.013.01,159.2,159.3,5.7,5.0,Кукуруза силос,Новосибирск,8.5,104.23819114817191,6701348.476666667,118667.05,0.0,416.19,95.73819114817191
216,2023,36.02.03.042.00,99.0,131.0,5.3,5.9,Кукуруза силос,Воронеж,8.1,8561.036363636364,101605225.07666667,0.0,0.0,88.61500000000001,8552.936363636363
217,2023,36.02.03.043.00,83.0,83.0,5.1,5.8,Кукуруза силос,Воронеж,8.1,10370.6695184395,40260105.4525,42937440.0,170.61,76.78,10362.569518439499
218,2023,36.02.03.044.00,123.0,100.0,5.8,5.6,Кукуруза зерно,Воронеж,6.5,6677.87,4468332.26,0.0,187.92,84.565,6671.37
4312,2024,36.05.10.003.00,93.0,144.0,5.1,6.6,Кукуруза силос,Воронеж,7.5,6068.545454545455,609537.5,0.0,9.1,20.15,6061.045454545455
220,2023,36.02.03.047.00,209.0,249.0,5.4,6.6,Люцерна пр.лет корм,Воронеж,5.5,4544.255,0.0,0.0,0.3,6.8066666666666675,4538.755
221,2023,36.02.03.048.00,81.0,95.0,4.5,5.5,Кукуруза силос,Воронеж,8.1,10.694998139188687,163141.905,0.0,0.0,19.216666666666665,2.5949981391886876
222,2023,36.02.03.049.00,125.5,91.0,4.4,5.35,Кукуруза силос,Воронеж,8.1,9171.239411088767,413585.03,0.0,0.0,71.67,9163.139411088767
223,2023,36.02.03.050.00,63.0,64.0,4.3,5.1,Кукуруза силос,Воронеж,8.1,8411.650000000001,182147.94,0.0,54.41,24.485,8403.550000000001
4313,2024,36.05.10.004.01,78.0,119.0,5.1,6.6,Кукуруза силос,Воронеж,7.5,5541.87,340541.47,0.0,0.0,26.73,5534.37
225,2023,36.02.03.053.00,89.0,93.0,5.4,5.4,Кукуруза силос,Воронеж,8.1,8927.470414507772,1301132.88,0.0,0.0,140.50333333333333,8919.370414507772
226,2023,36.02.03.054.00,100.0,127.0,5.4,5.5,Кукуруза силос,Воронеж,8.1,9234.803333333333,0.0,0.0,0.0,36.46666666666666,9226.703333333333
227,2023,36.02.03.055.00,114.0,128.0,5.6,5.5,Кукуруза силос,Воронеж,8.1,9798.966666666667,0.0,0.0,0.0,29.366666666666664,9790.866666666667
228,2023,36.02.03.056.00,120.0,138.0,6.0,5.3,Кукуруза силос,Воронеж,8.1,9507.342621135209,617058.71,0.0,0.0,30.99,9499.242621135209
229,2023,36.02.03.057.01,108.0,109.0,5.4,5.5,Кукуруза силос,Воронеж,8.1,8916.046029161143,916180.46,0.0,0.0,37.75666666666667,8907.946029161143
6366,2024,54.28.13.013.03,215.73,133.06,4.43,5.2,Одн.тр.(вика+овёс)корм,Новосибирск,4.0,237.45194280508574,1721378.935,0.0,0.0,1641.06,233.45194280508574
6372,2024,54.28.13.035.00,165.0,63.7,5.1,4.9,Яр.ячмень,Новосибирск,3.2,688.800506527101,3588501.91,0.0,28.1,221.99125,685.600506527101
6371,2024,54.28.13.034.00,309.0,117.0,4.7,5.2,Люцерна пр.лет корм,Новосибирск,3.0,1.285,0.0,0.0,0.0,0.0,-1.715
6378,2024,56.28.03.001.00,66.0,57.3,5.6,7.9,Чечевица зеленая,Оренбург,0.7,111.62,338768.82000000007,0.0,0.0,62.555,110.92
6379,2024,56.28.03.002.00,69.0,67.8,6.4,7.7,Чечевица зеленая,Оренбург,0.7,176.11847094801223,203298.76,0.0,0.0,46.07333333333333,175.41847094801224
6380,2024,56.28.03.003.00,51.0,79.5,6.2,7.4,Яр.пшеница твёрдая,Оренбург,2.0,1394.6021065804568,1255102.77,11953.36,0.0,57.550000000000004,1392.6021065804568
6382,2024,56.28.03.005.00,66.0,59.5,5.8,8.0,Чечевица зеленая,Оренбург,0.7,373.4572922252011,291833.62,0.0,0.0,52.55375,372.7572922252011
6385,2024,56.28.03.008.00,51.0,85.3,6.6,7.5,Чечевица зеленая,Оренбург,0.7,360.7332495401594,290311.76499999996,0.0,0.0,61.276666666666664,360.03324954015943
6389,2024,56.28.03.013.00,78.0,72.5,5.9,6.9,Чечевица зеленая,Оренбург,0.7,371.8806059925934,604659.235,0.0,0.0,83.69500000000001,371.1806059925934
6390,2024,56.28.03.015.00,84.0,66.8,6.5,7.4,Чечевица зеленая,Оренбург,0.7,307.31,114495.485,0.0,0.0,43.308571428571426,306.61
6396,2024,56.28.03.024.00,90.0,93.0,7.2,6.5,Чечевица зеленая,Оренбург,0.7,307.9,9566.205,0.0,0.0,12.52,307.2
253,2023,36.02.06.026.00,100.0,93.0,4.5,5.1,Кукуруза силос,Воронеж,7.65,9.74,3104058.66,0.0,6.89,111.85666666666667,2.09
2493,2023,54.17.03.002.00,128.0,309.4,4.46,5.02,Кл.кр.+фестул.пр.лет корм,Новосибирск,3.5,0.0,0.0,0.0,0.0,0.0,-3.5
6405,2024,56.28.03.038.02,78.0,114.5,6.4,5.9,Оз.пшеница мягкая,Оренбург,2.1,293.49873015873015,445419.0,0.0,2.11,32.792857142857144,291.39873015873013
6413,2024,56.28.03.047.00,81.0,111.8,6.5,6.8,Чечевица зеленая,Оренбург,0.7,876.1666218187713,51121.07000000001,19789.41,0.0,100.1857142857143,875.4666218187713
6414,2024,56.28.03.049.00,75.0,116.5,7.2,7.3,Чечевица зеленая,Оренбург,0.7,832.9824188408146,1012250.9466666668,21494.35,0.0,157.63857142857142,832.2824188408146
6415,2024,56.28.07.001.00,60.0,75.8,6.5,6.5,Яр.пшеница твёрдая,Оренбург,2.0,1472.2964129676543,5013107.159999999,36304.630000000005,0.0,92.12125,1470.2964129676543
2321,2023,46.28.17.031.01,66.0,130.0,6.7,6.7,Оз.пшеница мягкая,Курск,6.02,50.57674767061194,1995907.98,0.0,12.39,125.04444444444445,44.55674767061194
2322,2023,46.28.17.031.02,66.0,130.0,6.7,6.7,Оз.пшеница мягкая,Курск,6.02,55.00225844004657,51163.939999999995,0.0,1.34,13.772222222222222,48.982258440046564
2323,2023,46.28.17.031.03,66.0,130.0,6.7,6.7,Оз.пшеница мягкая,Курск,6.02,165.53988817891374,47547.65,0.0,0.98,10.035555555555554,159.51988817891373
2324,2023,46.28.17.032.00,79.0,129.0,6.2,6.1,Оз.пшеница мягкая,Курск,6.02,72.44991079703429,2102959.87,0.0,13.47,135.9077777777778,66.4299107970343
6422,2024,56.28.10.003.02,293.13,170.0,7.9,5.55,Одн.тр.(оз.рожь+оз.вика)корм,Оренбург,2.8,0.0,317137.52,0.0,0.0,0.0,-2.8
6429,2024,56.28.10.011.00,63.0,57.5,6.7,6.6,Подсолнечник,Оренбург,1.8,1314.702427983539,0.0,4974.29,5.68,123.5325,1312.9024279835392
6430,2024,56.28.10.013.00,66.0,65.3,7.4,6.5,Подсолнечник,Оренбург,1.8,1233.5709349955478,0.0,8197.34,7.31,139.5257142857143,1231.7709349955478
6431,2024,56.28.10.014.00,69.0,74.3,7.0,6.8,Подсолнечник,Оренбург,1.8,1731.63,0.0,323.09,1.44,27.694285714285716,1729.8300000000002
6432,2024,56.28.10.015.00,90.0,68.3,7.3,7.0,Подсолнечник,Оренбург,1.8,2159.52631496063,0.0,419.35,1.65,31.56,2157.7263149606297
291,2023,36.02.11.013.00,76.0,86.0,6.7,5.3,Кукуруза силос,Воронеж,8.1,6595.514921860291,9804488.96,0.0,208.88,177.796,6587.414921860291
4387,2024,36.11.06.023.00,63.0,103.0,5.1,6.9,Соя,Воронеж,2.5,341.2108294870104,0.0,0.0,1.19,113.03166666666665,338.7108294870104
293,2023,36.02.11.015.00,78.0,95.0,5.9,5.2,Кукуруза силос,Воронеж,8.1,8487.23,7229582.3100000005,0.0,304.75,139.675,8479.13
2341,2023,50.33.01.020.00,370.0,453.0,3.5,6.0,Яр.пшеница мягкая,Москва,3.8,3.7740789473684213,7184.42,144.16,2.5,4.166,-0.02592105263157851
295,2023,36.02.11.019.00,127.0,96.0,5.9,5.3,Кукуруза силос,Воронеж,8.1,8845.84,1042507.25,0.0,70.84,35.43,8837.74
296,2023,36.02.11.020.00,145.0,87.0,5.9,5.7,Оз.пшеница мягкая,Воронеж,5.7,988.3298462664715,2424681.54,0.0,8.66,56.131428571428565,982.6298462664714
6440,2024,56.28.10.023.00,42.0,39.5,6.5,7.6,Кукуруза силос,Оренбург,5.1,10.995495042591816,862859.715,15374.6,0.0,264.24333333333334,5.895495042591817
6443,2024,56.28.10.026.00,69.0,69.0,6.3,7.1,Подсолнечник,Оренбург,1.8,1161.8754662104363,0.0,3197.75,4.56,82.5525,1160.0754662104364
6449,2024,56.28.15.001.00,69.0,64.8,6.6,7.6,Чечевица красная,Оренбург,1.1,924.4271957443748,4325425.71,0.0,0.0,229.07285714285715,923.3271957443748
6450,2024,56.28.15.003.00,60.0,85.3,7.1,7.6,Чечевица красная,Оренбург,1.1,1319.550656327887,322071.23,0.0,0.0,67.835,1318.4506563278871
308,2023,36.02.11.033.01,159.0,148.0,6.4,5.4,Кукуруза силос,Воронеж,8.1,11749.16,5897.97,0.0,5.54,12.459999999999999,11741.06
309,2023,36.02.11.033.02,159.0,148.0,6.4,5.4,Кукуруза силос,Воронеж,8.1,15429.94,331.53,0.0,1.31,2.955,15421.84
310,2023,36.02.11.034.00,171.0,130.0,7.2,5.4,Кукуруза силос,Воронеж,8.1,12664.954855627579,93593.79,0.0,22.06,49.64,12656.854855627578
311,2023,36.02.11.035.00,209.0,214.0,6.5,5.4,Кукуруза силос,Воронеж,8.1,10512.580339655933,167026.89,0.0,29.47,66.31,10504.480339655933
6453,2024,62.01.01.002.00,170.0,209.5,5.3,5.3,Яр.пшеница мягкая,Рязань,5.0,2887.93,3364300.3950000005,0.0,0.0,59.7625,2882.93
6454,2024,62.01.01.003.00,182.0,197.0,5.6,5.7,Чечевица красная,Рязань,2.3,1481.63,2347188.6,0.0,24.45,78.605,1479.3300000000002
314,2023,36.02.11.038.00,79.0,87.0,5.3,5.3,Оз.пшеница мягкая,Воронеж,5.7,2353.1140933412607,1048926.0150000001,0.0,0.0,31.584444444444443,2347.414093341261
315,2023,36.02.11.041.00,84.0,58.0,5.3,5.8,Кукуруза силос,Воронеж,8.1,7616.27,40750.26,0.0,17.78,8.89,7608.17
316,2023,36.02.11.042.00,75.0,51.0,5.6,5.3,Кукуруза силос,Воронеж,8.1,7980.0599999999995,35453.53,0.0,16.59,8.29,7971.959999999999
317,2023,36.02.11.043.00,41.0,36.0,5.8,5.2,Кукуруза силос,Воронеж,8.1,9066.92462416746,24052.684999999998,0.0,13.66,6.84,9058.824624167459
318,2023,36.02.11.044.00,84.0,58.0,5.8,5.2,Кукуруза силос,Воронеж,8.1,27961.986261398175,21212.53,0.0,12.83,6.42,27953.886261398176
319,2023,36.02.11.045.00,64.0,57.0,6.0,5.4,Кукуруза силос,Воронеж,8.1,10487.67,31775.475000000002,0.0,15.7,7.85,10479.57
320,2023,36.02.11.046.00,82.0,57.0,6.0,5.4,Кукуруза силос,Воронеж,8.1,8716.299723320159,50028.795,0.0,19.73,9.87,8708.199723320158
321,2023,36.02.11.047.01,106.0,117.0,5.7,5.4,Кукуруза силос,Воронеж,8.1,8995.418498537536,0.0,0.0,0.0,0.0,8987.318498537536
6457,2024,62.01.01.008.00,98.0,136.0,6.2,4.9,Чечевица зеленая,Рязань,2.3,1797.08,1800621.69,0.0,21.42,68.845,1794.78
