season;field;p2o5;k2o;humus;ph;crop;region;yield_plan;yield_fact;fact_plan_dif;fact_plan_dif_abs;fact_plan_div;fact_plan_share_dif
2023;62.23.02.004.01;326,72;216,88;3,5;5,34;Кукуруза зерно;Рязань;5,8;5,842563636;0,042563636;0,042563636;0,007338558;0,007338558
2023;62.23.06.021.00;189,63;277;4;5,2;Кукуруза зерно;Рязань;5,8;5,755462581;-0,044537419;0,044537419;-0,007678865;-0,007678865
2023;36.05.07.019.00;125;124;5,6;6,1;Кукуруза силос;Воронеж;7,5;7,454932327;-0,045067673;0,045067673;-0,006009023;-0,006009023
2024;16.13.17.037.00;51,5;138;7,45;5,3;Эспарцет пр,лет корм;Татарстан;3,6;3,648003806;0,048003806;0,048003806;0,01333439;0,01333439
2024;54.17.08.029.00;201,2;146,4;2,9;4,7;Тимофеевка пр,лет сем,;Новосибирск;0,1;0,051333333;-0,048666667;0,048666667;-0,486666667;-0,486666667
2023;40.16.11.003.01;76,67;84,33;1,37;5,2;Кормовые бобы;Калуга;1,2;1,150411449;-0,049588551;0,049588551;-0,041323792;-0,041323792
2023;46.28.10.010.00;158;128;5,9;5,1;Горох;Курск;3,12;3,169969027;0,049969027;0,049969027;0,016015714;0,016015714
2023;16.13.19.043.00;144,6;233;8;6,86;Яр,пшеница твёрдая;Татарстан;2,38;2,33;-0,05;0,05;-0,021008403;-0,021008403
2024;36.02.19.065.00;111;100;5,4;5,3;Соя;Воронеж;2,5;2,45;-0,05;0,05;-0,02;-0,02
2023;54.17.01.039.01;141;29;2,9;4,2;Клевер бел,пр,лет сем,;Новосибирск;0,09;0,04;-0,05;0,05;-0,555555556;-0,555555556
2023;54.17.01.041.00;143;33,8;2,8;4,2;Клевер бел,пр,лет сем,;Новосибирск;0,09;0,04;-0,05;0,05;-0,555555556;-0,555555556
2024;36.02.02.047.02;40;59;2,6;4,8;Одн,тр,фацелия семена;Воронеж;0,3;0,25;-0,05;0,05;-0,166666667;-0,166666667
2024;36.14.08.012.00;65;89;1,6;4,9;Люцерна пр,лет сем,;Воронеж;0,2;0,25;0,05;0,05;0,25;0,25
2023;40.22.01.011.00;59;84;2;4,3;Люцерна 1 г,ж,корм;Калуга;1,7;1,65;-0,05;0,05;-0,029411765;-0,029411765
2023;62.18.04.018.00;102;120;4,9;6,16;Гречиха;Рязань;1;0,95;-0,05;0,05;-0,05;-0,05
2023;36.02.17.015.00;138;112;5,7;5,6;Эсп,+костр,пр,лет корм;Воронеж;3,4;3,45;0,05;0,05;0,014705882;0,014705882
2023;54.28.09.001.00;218,5;151,9;5,9;5;Соя;Новосибирск;1,62;1,569640309;-0,050359691;0,050359691;-0,031086229;-0,031086229
2023;62.23.06.093.00;123,55;187,25;4,4;5,12;Соя;Рязань;1,7;1,648325517;-0,051674483;0,051674483;-0,030396755;-0,030396755
2023;16.13.12.039.00;225;200;9,2;5,6;Гречиха;Татарстан;1,53;1,47827104;-0,05172896;0,05172896;-0,033809778;-0,033809778
2024;54.17.08.006.00;181,3;112,3;2,3;4,5;Фестулолиум пр,лет сем,;Новосибирск;0,1;0,046062556;-0,053937444;0,053937444;-0,539374437;-0,539374437
2023;62.23.03.006.03;45,46;192,38;2,9;4,89;Соя;Рязань;1,7;1,755914271;0,055914271;0,055914271;0,032890748;0,032890748
2023;62.23.06.023.00;65,8;192;5,4;4,6;Кукуруза зерно;Рязань;5,8;5,855959222;0,055959222;0,055959222;0,009648142;0,009648142
2023;36.11.01.031.00;85;129;5,8;5,8;Подсолнечник кондит,;Воронеж;2;2,058663264;0,058663264;0,058663264;0,029331632;0,029331632
2024;54.17.06.024.00;130,5;119,4;2,8;4,2;Тимофеевка пр,лет сем,;Новосибирск;0,1;0,1593148;0,0593148;0,0593148;0,593147996;0,593147996
2023;46.28.05.038.00;143;144;5,8;5,3;Соя;Курск;2,09;2,149335626;0,059335626;0,059335626;0,028390252;0,028390252
2023;36.02.02.001.00;61;85;6,7;5,7;Кукуруза зерно;Воронеж;6,51;6,45;-0,06;0,06;-0,00921659;-0,00921659
2023;36.11.06.012.00;28;43;4,9;7;Кукуруза зерно;Воронеж;7,5;7,44;-0,06;0,06;-0,008;-0,008
2023;50.33.02.050.02;128;64;1,8;4,7;Оз,пшеница мягкая;Москва;4,46;4,4;-0,06;0,06;-0,013452915;-0,013452915
2023;50.33.05.030.00;107;55;1,4;5,4;Яр,пшеница мягкая;Москва;3,8;3,86;0,06;0,06;0,015789474;0,015789474
2023;62.01.01.025.00;186;227;5,7;5,5;Соя;Рязань;1,71;1,65;-0,06;0,06;-0,035087719;-0,035087719
2024;36.02.03.022.02;99;105;6,7;5,7;Эсп,+костр,пр,лет корм;Воронеж;1,9;1,84;-0,06;0,06;-0,031578947;-0,031578947
2024;36.02.19.072.01;143;145;5,3;5,4;Соя;Воронеж;2,5;2,44;-0,06;0,06;-0,024;-0,024
2024;36.14.16.043.00;223;83;3;7;Соя;Воронеж;1,3;1,36;0,06;0,06;0,046153846;0,046153846
2024;16.13.17.019.00;126,8;102,8;7,4;5,9;Подсолнечник;Татарстан;2,2;2,14;-0,06;0,06;-0,027272727;-0,027272727
2023;62.18.04.020.02;172,43;165,29;5,07;5,9;Гречиха;Рязань;1;0,94;-0,06;0,06;-0,06;-0,06
2023;36.13.12.004.00;76;56;7,3;5,6;Кукуруза зерно;Воронеж;6,51;6,57;0,06;0,06;0,00921659;0,00921659
2023;50.33.02.006.01;160,67;74,67;1,93;5,33;Яр,пшеница мягкая;Москва;3,8;3,861048621;0,061048621;0,061048621;0,016065427;0,016065427
2023;50.33.02.012.00;166;53;1,75;5,75;Яр,пшеница мягкая;Москва;3,8;3,863530069;0,063530069;0,063530069;0,016718439;0,016718439
2024;36.14.02.046.00;61;122;1,8;4,7;Эсп,+костр,пр,лет корм;Воронеж;1,4;1,336284558;-0,063715442;0,063715442;-0,04551103;-0,04551103
2024;54.17.01.008.00;154,6;110;4,1;4,5;Райграс пастб,пр,лет сем,;Новосибирск;0,2;0,13622306;-0,06377694;0,06377694;-0,3188847;-0,3188847
2023;62.18.02.010.00;66,56;109,17;2,46;5,03;Подсолнечник;Рязань;2,46;2,393738447;-0,066261553;0,066261553;-0,026935591;-0,026935591
2023;36.02.03.001.00;98;122;6,8;5,9;Одн,тр,суданская тр,корм,;Воронеж;3;3,066462388;0,066462388;0,066462388;0,022154129;0,022154129
2024;36.14.16.033.00;162;143;4,4;5,2;Соя;Воронеж;1,3;1,232364524;-0,067635476;0,067635476;-0,052027289;-0,052027289
2024;40.14.06.008.00;48;57;1,7;4,7;Кукуруза силос;Калуга;9,8;9,869421654;0,069421654;0,069421654;0,007083842;0,007083842
2024;36.02.11.006.00;67,5;80;2,6;4,6;Одн,тр,озимая тритикале корм;Воронеж;0,9;0,83;-0,07;0,07;-0,077777778;-0,077777778
2023;62.23.06.054.00;131,8;151,5;4,6;5,26;Соя;Рязань;1,7;1,77;0,07;0,07;0,041176471;0,041176471
2024;36.14.08.014.00;118;127;1,2;4,8;Люцерна пр,лет сем,;Воронеж;0,2;0,27;0,07;0,07;0,35;0,35
2024;54.17.06.022.00;181,2;112,3;2,3;4,3;Горох;Новосибирск;1,1;1,17173449;0,07173449;0,07173449;0,065213173;0,065213173
2023;36.11.06.038.00;45,5;72;4,75;6,85;Кукуруза зерно;Воронеж;7,5;7,572919678;0,072919678;0,072919678;0,009722624;0,009722624
2023;54.17.08.014.02;190;80;4;5;Тимофеевка пр,лет сем,;Новосибирск;0,31;0,235191122;-0,074808878;0,074808878;-0,241318961;-0,241318961
2023;54.17.06.024.00;130,5;119,4;2,8;4,2;Тимофеевка пр,лет сем,;Новосибирск;0,31;0,385631056;0,075631056;0,075631056;0,243971147;0,243971147
2024;36.02.11.036.00;112;90;6,6;5,4;Люцерна 1 г,ж,корм;Воронеж;1,5;1,576004843;0,076004843;0,076004843;0,050669895;0,050669895
2024;56.28.08.002.00;63;82,3;7,1;6,8;Подсолнечник;Оренбург;1,8;1,722749541;-0,077250459;0,077250459;-0,042916922;-0,042916922
2023;36.14.21.003.00;126;120;4,4;6,4;Кукуруза силос;Воронеж;7,5;7,57952745;0,07952745;0,07952745;0,01060366;0,01060366
2023;46.28.05.018.00;67;169;5,7;5,3;Гречиха;Курск;1,5;1,420275274;-0,079724726;0,079724726;-0,053149817;-0,053149817
2023;54.17.07.018.00;190;150;3;5,5;Чечевица;Новосибирск;1,88;1,959927812;0,079927812;0,079927812;0,042514794;0,042514794
2024;16.13.17.004.02;134,83;108;5,4;5,98;Подсолнечник;Татарстан;2,2;2,28;0,08;0,08;0,036363636;0,036363636
2023;36.02.19.074.01;102;110;4,7;5,1;Кукуруза зерно;Воронеж;6,51;6,59;0,08;0,08;0,012288786;0,012288786
2023;40.04.06.018.01;67;89;1,6;4,8;Кукуруза силос;Калуга;7,65;7,57;-0,08;0,08;-0,010457516;-0,010457516
2023;62.01.03.057.00;75;147;5;5,1;Соя;Рязань;1,71;1,79;0,08;0,08;0,046783626;0,046783626
2023;50.33.02.028.01;133;99;2,3;5,6;Кукуруза корнаж;Москва;6,3;6,218993135;-0,081006865;0,081006865;-0,012858233;-0,012858233
2024;50.33.01.029.00;243;140;3,3;5,9;Люцерна 1 г,ж,корм;Москва;1,4;1,315;-0,085;0,085;-0,060714286;-0,060714286
2024;16.13.18.028.00;64,5;150;7,3;7;Кукуруза силос;Татарстан;6,2;6,286703848;0,086703848;0,086703848;0,013984492;0,013984492
2024;36.02.03.035.00;74;98;5,5;5,4;Соя;Воронеж;2,2;2,113006366;-0,086993634;0,086993634;-0,039542561;-0,039542561
2023;46.22.03.022.00;113,7;94,1;5,6;6,62;Соя;Курск;2,11;2,021999898;-0,088000102;0,088000102;-0,04170621;-0,04170621
2023;40.16.11.003.02;76,67;84,33;1,37;5,2;Кормовые бобы;Калуга;1,2;1,288082431;0,088082431;0,088082431;0,073402026;0,073402026
2024;54.17.02.020.00;188;145,2;3,6;5,2;Яр,ячмень;Новосибирск;1,7;1,611886792;-0,088113208;0,088113208;-0,051831299;-0,051831299
2023;62.23.06.053.00;126,84;167,23;5,34;4,81;Кукуруза зерно;Рязань;5,8;5,711500466;-0,088499534;0,088499534;-0,01525854;-0,01525854
2023;62.10.02.010.01;160,98;121,1;1,41;5,24;Кукуруза корнаж;Рязань;5,49;5,57862069;0,08862069;0,08862069;0,016142202;0,016142202
2023;22.47.11.001.00;227,6;99,2;3;5,3;Одн,тр,(вика+овёс)корм;Алтай;3;3,09;0,09;0,09;0,03;0,03
2023;40.14.08.028.00;229;253;2,6;5,6;Кукуруза силос;Калуга;7,65;7,74;0,09;0,09;0,011764706;0,011764706
2023;62.01.03.052.00;51,5;144,5;4,5;5,5;Соя;Рязань;1,71;1,62;-0,09;0,09;-0,052631579;-0,052631579
2023;16.13.19.045.00;53;155;6,1;5,5;Подсолнечник;Татарстан;1,7;1,79;0,09;0,09;0,052941176;0,052941176
2024;36.14.11.034.00;124;152;6,4;6,5;Кукуруза силос;Воронеж;7,5;7,41;-0,09;0,09;-0,012;-0,012
2024;36.14.16.054.00;238;99;3,2;6,9;Соя;Воронеж;1,3;1,39;0,09;0,09;0,069230769;0,069230769
2023;36.14.10.005.02;34;72;2,1;5,5;Одн,тр,фацелия семена;Воронеж;0,2;0,29;0,09;0,09;0,45;0,45
2024;36.14.21.010.00;47;98;5,2;5,2;Люцерна 1 г,ж,сем,;Воронеж;0,3;0,21;-0,09;0,09;-0,3;-0,3
2024;36.14.16.028.00;47;60;3,5;5,1;Соя;Воронеж;1,3;1,20974973;-0,09025027;0,09025027;-0,069423285;-0,069423285
2023;36.02.06.043.00;54;65;3,7;5;Соя;Воронеж;2,55;2,640302598;0,090302598;0,090302598;0,035412783;0,035412783
2023;54.17.08.006.00;181,3;112,3;2,3;4,5;Фестулолиум пр,лет сем,;Новосибирск;0,3;0,205584438;-0,094415562;0,094415562;-0,314718542;-0,314718542
2023;46.28.17.015.01;156;142;5,2;5,6;Соя;Курск;2,09;2,185688036;0,095688036;0,095688036;0,045783749;0,045783749
2024;36.14.18.019.00;105;116;4,3;5,2;Кукуруза зерно;Воронеж;5,4;5,495830258;0,095830258;0,095830258;0,017746344;0,017746344
2024;36.14.19.008.00;173;249;5,7;5,2;Соя;Воронеж;1,3;1,396660263;0,096660263;0,096660263;0,074354048;0,074354048
2024;16.13.19.017.00;91;144;7,1;6,2;Чечевица зеленая;Татарстан;2;1,900393593;-0,099606407;0,099606407;-0,049803204;-0,049803204
2023;36.13.12.017.01;128;82;7,1;5,7;Соя;Воронеж;2,55;2,45;-0,1;0,1;-0,039215686;-0,039215686
2023;36.14.04.042.13;165;225;5,5;5,8;Оз,пшеница мягкая;Воронеж;5,6;5,5;-0,1;0,1;-0,017857143;-0,017857143
2023;40.14.08.029.00;112;245;2,2;5,5;Кукуруза силос;Калуга;7,65;7,75;0,1;0,1;0,013071895;0,013071895
2023;62.10.04.004.01;92,4;182,4;2,2;5,48;Кукуруза корнаж;Рязань;5,49;5,59;0,1;0,1;0,018214936;0,018214936
2023;62.17.07.024.00;70,2;168,2;5,6;5,16;Соя;Рязань;1,71;1,61;-0,1;0,1;-0,058479532;-0,058479532
2024;36.14.16.047.00;242;80;3,2;7;Соя;Воронеж;1,3;1,4;0,1;0,1;0,076923077;0,076923077
2023;46.22.05.018.00;121,5;129,5;5,35;4,85;Лён масличный;Курск;1,22;1,12;-0,1;0,1;-0,081967213;-0,081967213
2023;36.14.04.042.04;165;225;5,5;5,8;Оз,пшеница мягкая;Воронеж;5,6;5,7;0,1;0,1;0,017857143;0,017857143
2024;36.02.18.014.01;140;162;4,6;5,5;Люцерна 1 г,ж,сем,;Воронеж;0,2;0,1;-0,1;0,1;-0,5;-0,5
2024;16.13.17.003.00;266,02;252,6;6,8;5,81;Подсолнечник;Татарстан;2,2;2,1;-0,1;0,1;-0,045454545;-0,045454545
2023;16.13.17.009.00;178;200;7,4;5,5;Гречиха;Татарстан;1,53;1,630887894;0,100887894;0,100887894;0,0659398;0,0659398
2024;54.17.01.036.00;133,5;38,2;2,7;3,6;Горох;Новосибирск;1,1;1,200894728;0,100894728;0,100894728;0,09172248;0,09172248
2023;54.17.09.027.00;233;136;2,7;5,1;Тимофеевка пр,лет сем,;Новосибирск;0,31;0,208461538;-0,101538462;0,101538462;-0,327543424;-0,327543424
2023;36.14.03.053.00;67;68;4,6;4,9;Кукуруза зерно;Воронеж;6,48;6,377232048;-0,102767952;0,102767952;-0,015859252;-0,015859252
2023;36.14.18.005.00;88;93;4,4;5,1;Кукуруза зерно;Воронеж;6,48;6,376292135;-0,103707865;0,103707865;-0,0160043;-0,0160043
2023;46.11.01.001.00;96;171;5,5;5,2;Соя;Курск;2,09;2,19740648;0,10740648;0,10740648;0,05139066;0,05139066
2024;54.28.11.016.02;172,8;162,5;5;5;Кукуруза силос;Новосибирск;8,5;8,392549556;-0,107450444;0,107450444;-0,012641229;-0,012641229
2023;50.33.02.036.02;175;126;3,65;6,45;Яр,пшеница мягкая;Москва;3,8;3,691338506;-0,108661494;0,108661494;-0,02859513;-0,02859513
2024;36.14.04.054.00;72;93;5;5,9;Оз,пшеница мягкая;Воронеж;3;3,109296552;0,109296552;0,109296552;0,036432184;0,036432184
2023;36.11.01.032.01;76;104;5,7;6,1;Кукуруза силос;Воронеж;7,5;7,390440399;-0,109559601;0,109559601;-0,014607947;-0,014607947
2023;40.14.07.011.00;106;163;1,8;5,1;Кукуруза силос;Калуга;7,65;7,76;0,11;0,11;0,014379085;0,014379085
2023;36.14.04.042.05;165;225;5,5;5,8;Оз,пшеница мягкая;Воронеж;5,6;5,49;-0,11;0,11;-0,019642857;-0,019642857
2023;62.01.01.019.00;251;400;5,2;5,7;Соя;Рязань;1,71;1,6;-0,11;0,11;-0,064327485;-0,064327485
2024;36.14.06.015.00;96;91;5,7;6;Оз,пшеница мягкая;Воронеж;3;2,89;-0,11;0,11;-0,036666667;-0,036666667
2024;16.13.12.062.02;222,36;200;9,8;5,27;Оз,пшеница мягкая;Татарстан;4;3,89;-0,11;0,11;-0,0275;-0,0275
2023;16.13.13.041.00;52;116;5,9;5,6;Кукуруза силос;Татарстан;4,68;4,79;0,11;0,11;0,023504274;0,023504274
2024;16.13.17.004.01;134,83;108;5,4;5,98;Подсолнечник;Татарстан;2,2;2,09;-0,11;0,11;-0,05;-0,05
2024;36.14.06.071.00;85;91;5,9;6,7;Оз,пшеница мягкая;Воронеж;3;2,889418528;-0,110581472;0,110581472;-0,036860491;-0,036860491
2023;54.28.11.018.02;208,5;170,5;7,7;5;Кукуруза силос;Новосибирск;8,5;8,387700258;-0,112299742;0,112299742;-0,013211734;-0,013211734
2023;46.22.05.014.00;88;118;5,6;5,3;Лён масличный;Курск;1,22;1,1075;-0,1125;0,1125;-0,092213115;-0,092213115
2023;46.28.17.035.00;147;190;5,5;5,6;Соя;Курск;2,09;1,977126926;-0,112873074;0,112873074;-0,054006255;-0,054006255
