,season,field,inv_item_name,inv_item_weight,inv_item_unit,inv_item_dose,inv_item_date,yield_fact
6782,2023,02.09.06.023.00,Удобрение 24,563.55,л,1.95,2023-05-25,0.96
7070,2023,02.09.06.023.00,Удобрение 24,28080.0,л,1.95,2023-05-27,0.96
7215,2023,02.09.06.023.00,Удобрение 24,5858.42,л,1.95,2023-05-28,0.96
19294,2024,02.09.06.023.00,Удобрение 23,3250.0,л,1.3,2024-06-27,0.603
19295,2024,02.09.06.023.00,Удобрение 23,618.38,л,1.3,2024-06-27,0.603
19449,2024,02.09.06.023.00,Удобрение 23,15730.0,л,1.3,2024-06-30,0.603
19450,2024,02.09.06.023.00,Удобрение 23,130.0,л,1.3,2024-06-30,0.603
7071,2023,02.09.06.025.00,Удобрение 24,13195.08,л,1.95,2023-05-27,0.30333333333333334
19034,2024,02.09.06.025.00,Удобрение 23,8796.72,л,1.3,2024-06-20,0.6566666666666666
7072,2023,02.09.06.026.00,Удобрение 24,3809.6,л,1.95,2023-05-27,0.45
19035,2024,02.09.06.026.00,Удобрение 23,2539.73,л,1.3,2024-06-20,2.26
3301,2023,02.09.06.027.00,Удобрение 57,1055341.3,кг,130.0,2023-04-26,1.2887499999999998
3353,2023,02.09.06.027.00,Удобрение 57,117000.0,кг,130.0,2023-04-27,1.2887499999999998
7615,2023,02.09.06.027.00,Удобрение 24,28126.82,л,1.95,2023-06-02,1.2887499999999998
6293,2023,02.09.06.028.00,Удобрение 38,858194.14,кг,195.0,2023-05-20,1922.3500000000001
6294,2023,02.09.06.028.00,Удобрение 38,112320.0,кг,195.0,2023-05-20,1922.3500000000001
19296,2024,02.09.06.028.00,Удобрение 23,4733.19,л,1.3,2024-06-27,
19297,2024,02.09.06.028.00,Удобрение 23,1170.0,л,1.3,2024-06-27,
7073,2023,02.09.06.029.00,Удобрение 24,675.47,л,1.95,2023-05-27,642.4533333333333
19396,2024,02.09.06.029.00,Удобрение 23,450.23,л,1.3,2024-06-29,2.31
7074,2023,02.09.06.030.00,Удобрение 24,17821.75,л,1.95,2023-05-27,0.28200000000000003
19397,2024,02.09.06.030.00,Удобрение 23,11881.17,л,1.3,2024-06-29,2.305
3302,2023,02.09.06.032.00,Удобрение 57,52000.0,кг,130.0,2023-04-26,1.2814285714285714
3303,2023,02.09.06.032.00,Удобрение 57,325000.0,кг,130.0,2023-04-26,1.2814285714285714
3354,2023,02.09.06.032.00,Удобрение 57,768169.6,кг,130.0,2023-04-27,1.2814285714285714
3195,2023,02.09.06.048.00,Удобрение 57,284366.28,кг,130.0,2023-04-24,1.7240000000000002
6935,2023,02.09.06.048.00,Удобрение 24,4265.8,л,1.95,2023-05-26,1.7240000000000002
17350,2024,02.09.06.048.00,Удобрение 57,498111.35,кг,260.0,2024-05-21,
17420,2024,02.09.06.048.00,Удобрение 57,2340.0,кг,260.0,2024-05-22,
19225,2024,02.09.06.048.00,Удобрение 23,2843.66,л,1.3,2024-06-25,
19579,2024,02.09.06.048.00,Удобрение 38,28436.63,кг,13.0,2024-07-03,
3196,2023,02.09.06.049.00,Удобрение 57,312512.32,кг,130.0,2023-04-24,0.715
6936,2023,02.09.06.049.00,Удобрение 24,4688.0,л,1.95,2023-05-26,0.715
17421,2024,02.09.06.049.00,Удобрение 57,625279.62,кг,260.0,2024-05-22,
19226,2024,02.09.06.049.00,Удобрение 23,3126.4,л,1.3,2024-06-25,
19580,2024,02.09.06.049.00,Удобрение 38,31263.98,кг,13.0,2024-07-03,
14813,2024,02.09.06.054.00,Удобрение 57,543245.07,кг,260.0,2024-04-16,1.4425
19298,2024,02.09.06.054.00,Удобрение 23,218.69,л,1.3,2024-06-27,1.4425
19299,2024,02.09.06.054.00,Удобрение 23,1393.48,л,1.3,2024-06-27,1.4425
12554,2024,02.09.06.057.00,Удобрение 14,702702.18,кг,195.0,2023-10-18,
6403,2023,02.09.06.061.01,Удобрение 38,1430000.0,кг,143.0,2023-05-21,1144.0886842105265
6404,2023,02.09.06.061.01,Удобрение 38,1184183.0,кг,143.0,2023-05-21,1144.0886842105265
6405,2023,02.09.06.061.01,Удобрение 38,1730300.0,кг,143.0,2023-05-21,1144.0886842105265
6526,2023,02.09.06.061.01,Удобрение 38,1430000.0,кг,143.0,2023-05-22,1144.0886842105265
6527,2023,02.09.06.061.01,Удобрение 38,1236807.0,кг,143.0,2023-05-22,1144.0886842105265
8070,2023,02.09.06.061.01,Удобрение 38,300462.5,кг,6.5,2023-06-09,1144.0886842105265
8071,2023,02.09.06.061.01,Удобрение 38,45864.0,кг,6.5,2023-06-09,1144.0886842105265
8072,2023,02.09.06.061.01,Удобрение 38,46962.5,кг,6.5,2023-06-09,1144.0886842105265
8162,2023,02.09.06.061.01,Удобрение 38,78650.0,кг,6.5,2023-06-10,1144.0886842105265
9631,2023,02.09.06.061.01,Удобрение 38,208000.0,кг,20.8,2023-07-07,1144.0886842105265
9663,2023,02.09.06.061.01,Удобрение 38,208000.0,кг,20.8,2023-07-08,1144.0886842105265
9681,2023,02.09.06.061.01,Удобрение 38,52000.0,кг,20.8,2023-07-09,1144.0886842105265
9682,2023,02.09.06.061.01,Удобрение 38,499720.0,кг,20.8,2023-07-09,1144.0886842105265
9702,2023,02.09.06.061.01,Удобрение 38,164756.8,кг,20.8,2023-07-10,1144.0886842105265
6406,2023,02.09.06.061.02,Удобрение 38,64733.84,кг,195.0,2023-05-21,2855.2962500000003
6407,2023,02.09.06.061.02,Удобрение 38,56355.0,кг,195.0,2023-05-21,2855.2962500000003
12478,2024,02.09.06.063.00,Удобрение 14,26876.38,кг,195.0,2023-10-16,
17351,2024,02.09.06.064.00,Удобрение 57,1423760.0,кг,260.0,2024-05-21,
17352,2024,02.09.06.064.00,Удобрение 57,1967940.0,кг,260.0,2024-05-21,
17422,2024,02.09.06.064.00,Удобрение 57,64250.78,кг,260.0,2024-05-22,
17423,2024,02.09.06.064.00,Удобрение 57,1834560.0,кг,260.0,2024-05-22,
18873,2024,02.09.06.064.00,Удобрение 23,4792.99,л,1.3,2024-06-17,
18989,2024,02.09.06.064.00,Удобрение 23,22651.2,л,1.3,2024-06-19,
19036,2024,02.09.06.064.00,Удобрение 23,8955.7,л,1.3,2024-06-20,
19037,2024,02.09.06.064.00,Удобрение 57,2925000.0,кг,130.0,2024-06-20,
19038,2024,02.09.06.064.00,Удобрение 57,2054717.39,кг,130.0,2024-06-20,
19787,2024,02.09.06.064.00,Удобрение 38,8599.74,кг,13.0,2024-07-08,
19965,2024,02.09.06.064.00,Удобрение 38,73125.0,кг,13.0,2024-07-13,
19966,2024,02.09.06.064.00,Удобрение 33,7312.5,л,1.3,2024-07-13,
19967,2024,02.09.06.064.00,Удобрение 38,8125.0,кг,13.0,2024-07-13,
20003,2024,02.09.06.064.00,Удобрение 33,29250.0,л,1.3,2024-07-14,
20030,2024,02.09.06.064.00,Удобрение 33,3250.0,л,1.3,2024-07-15,
3905,2023,02.09.06.065.00,Удобрение 38,165127.25,кг,130.0,2023-05-04,6.882
3906,2023,02.09.06.065.00,Удобрение 7,165127.25,кг,130.0,2023-05-04,6.882
7742,2023,02.09.06.065.00,Удобрение 30,29.25,л,0.03,2023-06-04,6.882
7743,2023,02.09.06.065.00,Удобрение 30,468.0,л,0.52,2023-06-04,6.882
10995,2024,02.09.06.065.00,Удобрение 14,247690.87,кг,195.0,2023-09-15,
12520,2024,02.09.06.065.00,Удобрение 17,198152.7,кг,156.0,2023-10-17,
19756,2024,02.09.06.065.00,Удобрение 38,16512.72,кг,13.0,2024-07-07,
3907,2023,02.09.06.066.00,Удобрение 38,450078.93,кг,130.0,2023-05-04,5.56
3908,2023,02.09.06.066.00,Удобрение 38,549250.0,кг,130.0,2023-05-04,5.56
3909,2023,02.09.06.066.00,Удобрение 7,229320.0,кг,130.0,2023-05-04,5.56
3910,2023,02.09.06.066.00,Удобрение 7,336011.73,кг,130.0,2023-05-04,5.56
4051,2023,02.09.06.066.00,Удобрение 7,124930.0,кг,130.0,2023-05-05,5.56
9039,2023,02.09.06.066.00,Удобрение 38,2246.4,кг,15.6,2023-06-22,5.56
9040,2023,02.09.06.066.00,Удобрение 38,11995.67,кг,15.6,2023-06-22,5.56
9197,2023,02.09.06.066.00,Удобрение 38,110362.08,кг,15.6,2023-06-26,5.56
10871,2024,02.09.06.066.00,Удобрение 14,2990587.39,кг,195.0,2023-09-07,
12432,2024,02.09.06.066.00,Удобрение 17,88661.91,кг,156.0,2023-10-15,
12479,2024,02.09.06.066.00,Удобрение 17,390000.0,кг,156.0,2023-10-16,
12480,2024,02.09.06.066.00,Удобрение 17,390000.0,кг,156.0,2023-10-16,
18874,2024,02.09.06.066.00,Удобрение 23,1441.56,л,1.3,2024-06-17,
18990,2024,02.09.06.066.00,Удобрение 23,10656.74,л,1.3,2024-06-19,
11550,2024,02.09.06.069.00,Удобрение 14,16397.34,кг,195.0,2023-09-30,
12914,2024,02.09.06.069.00,Удобрение 17,13117.87,кг,156.0,2023-11-03,
19039,2024,02.09.06.069.00,Удобрение 23,109.32,л,1.3,2024-06-20,
3788,2023,02.09.06.070.00,Удобрение 38,80277.93,кг,130.0,2023-05-03,3.63
3911,2023,02.09.06.070.00,Удобрение 7,80277.93,кг,130.0,2023-05-04,3.63
11670,2024,02.09.06.070.00,Удобрение 28,120416.89,кг,195.0,2023-10-02,
12934,2024,02.09.06.070.00,Удобрение 17,96333.51,кг,156.0,2023-11-04,
19040,2024,02.09.06.070.00,Удобрение 23,802.78,л,1.3,2024-06-20,
14614,2024,02.09.06.071.01,Удобрение 57,1300000.0,кг,130.0,2024-04-14,0.001
14727,2024,02.09.06.071.01,Удобрение 57,1482811.2,кг,130.0,2024-04-15,0.001
14728,2024,02.09.06.071.02,Удобрение 57,52000.0,кг,130.0,2024-04-15,0.005
9198,2023,02.09.06.074.00,Удобрение 38,59003.1,кг,15.6,2023-06-26,1068.9123076923076
9242,2023,02.09.06.074.00,Удобрение 38,110510.09,кг,6.5,2023-06-27,1068.9123076923076
14729,2024,02.09.06.074.00,Удобрение 57,9573660.75,кг,260.0,2024-04-15,0.8429411764705882
18186,2024,02.09.06.074.00,Удобрение 57,1097690.37,кг,130.0,2024-06-03,0.8429411764705882
18264,2024,02.09.06.074.00,Удобрение 57,1300000.0,кг,130.0,2024-06-04,0.8429411764705882
19341,2024,02.09.06.074.00,Удобрение 23,3975.52,л,1.3,2024-06-28,0.8429411764705882
19398,2024,02.09.06.074.00,Удобрение 23,687.7,л,1.3,2024-06-29,0.8429411764705882
19399,2024,02.09.06.074.00,Удобрение 23,16773.49,л,1.3,2024-06-29,0.8429411764705882
9243,2023,02.09.06.075.00,Удобрение 38,262188.59,кг,6.5,2023-06-27,968.6576470588235
9478,2023,02.09.06.075.00,Удобрение 38,26624.0,кг,6.5,2023-07-04,968.6576470588235
14814,2024,02.09.06.075.00,Удобрение 57,12000618.66,кг,260.0,2024-04-16,1.6027272727272726
14815,2024,02.09.06.075.00,Удобрение 57,650000.0,кг,260.0,2024-04-16,1.6027272727272726
18187,2024,02.09.06.075.00,Удобрение 57,3532389.33,кг,130.0,2024-06-03,1.6027272727272726
18188,2024,02.09.06.075.00,Удобрение 57,1300000.0,кг,130.0,2024-06-03,1.6027272727272726
19342,2024,02.09.06.075.00,Удобрение 23,13000.0,л,1.3,2024-06-28,1.6027272727272726
19343,2024,02.09.06.075.00,Удобрение 23,23030.29,л,1.3,2024-06-28,1.6027272727272726
19400,2024,02.09.06.075.00,Удобрение 23,1309.66,л,1.3,2024-06-29,1.6027272727272726
14615,2024,02.09.06.076.02,Удобрение 57,5967398.13,кг,130.0,2024-04-14,0.0013953488372093023
3197,2023,02.09.06.077.00,Удобрение 57,2584530.0,кг,130.0,2023-04-24,1.62375
3198,2023,02.09.06.077.00,Удобрение 57,71548.31,кг,130.0,2023-04-24,1.62375
3199,2023,02.09.06.077.00,Удобрение 57,117000.0,кг,130.0,2023-04-24,1.62375
17424,2024,02.09.06.077.00,Удобрение 57,650000.0,кг,260.0,2024-05-22,
17425,2024,02.09.06.077.00,Удобрение 57,1274000.0,кг,260.0,2024-05-22,
17426,2024,02.09.06.077.00,Удобрение 57,1274000.0,кг,260.0,2024-05-22,
17427,2024,02.09.06.077.00,Удобрение 57,5171.82,кг,260.0,2024-05-22,
18991,2024,02.09.06.077.00,Удобрение 23,5766.23,л,1.3,2024-06-19,
19041,2024,02.09.06.077.00,Удобрение 23,21252.63,л,1.3,2024-06-20,
19581,2024,02.09.06.077.00,Удобрение 38,170314.19,кг,13.0,2024-07-03,
19647,2024,02.09.06.077.00,Удобрение 38,83200.0,кг,13.0,2024-07-04,
14980,2024,02.09.06.079.01,Удобрение 57,1579500.0,кг,195.0,2024-04-18,0.0029411764705882353
15081,2024,02.09.06.079.01,Удобрение 57,340385.84,кг,195.0,2024-04-19,0.0029411764705882353
19300,2024,02.09.06.079.02,Удобрение 23,2403.7,л,1.3,2024-06-27,
14981,2024,02.09.06.081.00,Удобрение 57,276826.39,кг,260.0,2024-04-18,1.32
18115,2024,02.09.06.081.00,Удобрение 57,138413.2,кг,130.0,2024-06-02,1.32
19227,2024,02.09.06.081.00,Удобрение 23,1384.13,л,1.3,2024-06-25,1.32
14909,2024,02.09.06.084.00,Удобрение 57,234000.0,кг,260.0,2024-04-17,1.685
14910,2024,02.09.06.084.00,Удобрение 57,2600000.0,кг,260.0,2024-04-17,1.685
14982,2024,02.09.06.084.00,Удобрение 57,498794.4,кг,260.0,2024-04-18,1.685
19228,2024,02.09.06.084.00,Удобрение 23,29250.0,л,1.3,2024-06-25,1.685
19256,2024,02.09.06.084.00,Удобрение 23,736.37,л,1.3,2024-06-26,1.685
6408,2023,02.09.08.001.00,Удобрение 38,334031.89,кг,130.0,2023-05-21,371.81875
19042,2024,02.09.08.001.00,Удобрение 23,3340.32,л,1.3,2024-06-20,0.99
20031,2024,02.09.08.001.00,Удобрение 23,3340.32,л,1.3,2024-07-15,0.99
6295,2023,02.09.08.002.00,Удобрение 38,252720.0,кг,195.0,2023-05-20,0.8555555555555555
6409,2023,02.09.08.002.00,Удобрение 38,1957825.79,кг,130.0,2023-05-21,0.8555555555555555
12385,2024,02.09.08.002.00,Удобрение 1,421200.0,кг,325.0,2023-10-14,0.0
12433,2024,02.09.08.002.00,Удобрение 1,4894564.48,кг,325.0,2023-10-15,0.0
16727,2024,02.09.08.002.00,Удобрение 13,2251181.63,кг,245.7,2024-05-10,0.0
16795,2024,02.09.08.002.00,Удобрение 13,975183.3,кг,245.7,2024-05-11,0.0
19788,2024,02.09.08.002.00,Удобрение 33,3656.25,л,0.65,2024-07-08,0.0
19838,2024,02.09.08.002.00,Удобрение 33,4555.87,л,0.65,2024-07-10,0.0
20186,2024,02.09.08.002.00,Удобрение 54,32749.65,л,1.3,2024-07-28,0.0
20187,2024,02.09.08.002.00,Удобрение 53,32749.65,л,1.3,2024-07-28,0.0
2585,2023,02.09.08.003.00,Удобрение 57,5371430.08,кг,130.0,2023-04-16,1714.2966666666666
2586,2023,02.09.08.003.00,Удобрение 57,312130.0,кг,130.0,2023-04-16,1714.2966666666666
4348,2023,02.09.08.003.00,Удобрение 57,2965713.24,кг,238.55,2023-05-07,1714.2966666666666
4349,2023,02.09.08.003.00,Удобрение 57,4727153.73,кг,238.55,2023-05-07,1714.2966666666666
19512,2024,02.09.08.003.01,Удобрение 38,615999.57,кг,13.0,2024-07-02,0.13
19513,2024,02.09.08.003.01,Удобрение 23,61599.96,л,1.3,2024-07-02,0.13
12254,2024,02.09.08.003.02,Удобрение 12,5159700.0,кг,325.0,2023-10-11,0.0
19839,2024,02.09.08.003.02,Удобрение 33,777.93,л,0.65,2024-07-10,0.0
20188,2024,02.09.08.003.02,Удобрение 53,1555.41,л,1.3,2024-07-28,0.0
20189,2024,02.09.08.003.02,Удобрение 54,1555.41,л,1.3,2024-07-28,0.0
2587,2023,02.09.08.004.00,Удобрение 57,67638.49,кг,130.0,2023-04-16,0.7266666666666667
2588,2023,02.09.08.004.00,Удобрение 57,62920.0,кг,130.0,2023-04-16,0.7266666666666667
4350,2023,02.09.08.004.00,Удобрение 57,478993.45,кг,238.55,2023-05-07,0.7266666666666667
19648,2024,02.09.08.004.00,Удобрение 23,2610.32,л,1.3,2024-07-04,
19649,2024,02.09.08.004.00,Удобрение 38,26103.17,кг,13.0,2024-07-04,
2589,2023,02.09.08.005.00,Удобрение 57,667197.65,кг,130.0,2023-04-16,1153.0133333333333
4479,2023,02.09.08.005.00,Удобрение 57,1224307.68,кг,238.55,2023-05-08,1153.0133333333333
18577,2024,02.09.08.005.00,Удобрение 23,6671.98,л,1.3,2024-06-11,0.645
19723,2024,02.09.08.005.00,Удобрение 38,66719.76,кг,13.0,2024-07-06,0.645
19724,2024,02.09.08.005.00,Удобрение 23,6671.98,л,1.3,2024-07-06,0.645
2420,2023,02.09.08.006.00,Удобрение 57,462245.8,кг,130.0,2023-04-13,1.08
4480,2023,02.09.08.006.00,Удобрение 57,848221.43,кг,238.55,2023-05-08,1.08
18521,2024,02.09.08.006.00,Удобрение 23,4622.46,л,1.3,2024-06-10,0.6799999999999999
19725,2024,02.09.08.006.00,Удобрение 38,46224.58,кг,13.0,2024-07-06,0.6799999999999999
19726,2024,02.09.08.006.00,Удобрение 23,4622.46,л,1.3,2024-07-06,0.6799999999999999
2590,2023,02.09.08.007.00,Удобрение 57,3272901.96,кг,130.0,2023-04-16,1.5493333333333332
2591,2023,02.09.08.007.00,Удобрение 57,422370.0,кг,130.0,2023-04-16,1.5493333333333332
4481,2023,02.09.08.007.00,Удобрение 57,5367375.0,кг,238.55,2023-05-08,1.5493333333333332
4482,2023,02.09.08.007.00,Удобрение 57,1028758.97,кг,238.55,2023-05-08,1.5493333333333332
12294,2024,02.09.08.007.00,Удобрение 1,2750800.0,кг,325.0,2023-10-12,1.002
12346,2024,02.09.08.007.00,Удобрение 1,1684800.0,кг,325.0,2023-10-13,1.002
12386,2024,02.09.08.007.00,Удобрение 1,866002.93,кг,325.0,2023-10-14,1.002
18578,2024,02.09.08.007.00,Удобрение 23,34399.99,л,1.3,2024-06-11,1.002
18628,2024,02.09.08.007.00,Удобрение 23,3651.7,л,1.3,2024-06-12,1.002
14983,2024,02.09.08.009.00,Удобрение 57,648960.42,кг,260.0,2024-04-18,3.50375
19401,2024,02.09.08.009.00,Удобрение 23,3244.8,л,1.3,2024-06-29,3.50375
2592,2023,02.09.08.011.00,Удобрение 57,24009.45,кг,130.0,2023-04-16,1.5433333333333332
2600,2023,02.09.08.011.00,Удобрение 57,57330.0,кг,130.0,2023-04-17,1.5433333333333332
4351,2023,02.09.08.011.00,Удобрение 57,46755.8,кг,238.55,2023-05-07,1.5433333333333332
4352,2023,02.09.08.011.00,Удобрение 57,101132.95,кг,238.55,2023-05-07,1.5433333333333332
18629,2024,02.09.08.011.00,Удобрение 23,551.13,л,1.3,2024-06-12,
19514,2024,02.09.08.011.00,Удобрение 38,15554.09,кг,13.0,2024-07-02,
19515,2024,02.09.08.011.00,Удобрение 23,1555.41,л,1.3,2024-07-02,
2601,2023,02.09.08.014.00,Удобрение 57,137566.12,кг,130.0,2023-04-17,1949.7022222222222
4353,2023,02.09.08.014.00,Удобрение 57,234302.76,кг,238.55,2023-05-07,1949.7022222222222
19582,2024,02.09.08.014.00,Удобрение 38,2041.01,кг,13.0,2024-07-03,
19583,2024,02.09.08.014.00,Удобрение 23,204.1,л,1.3,2024-07-03,
19650,2024,02.09.08.014.00,Удобрение 23,520.0,л,1.3,2024-07-04,
19651,2024,02.09.08.014.00,Удобрение 38,5200.0,кг,13.0,2024-07-04,
2421,2023,02.09.08.016.00,Удобрение 57,124205.65,кг,130.0,2023-04-13,1.225
4758,2023,02.09.08.016.00,Удобрение 57,60383.81,кг,238.55,2023-05-10,1.225
4759,2023,02.09.08.016.00,Удобрение 57,53673.75,кг,238.55,2023-05-10,1.225
18522,2024,02.09.08.016.00,Удобрение 23,1242.06,л,1.3,2024-06-10,0.87
19684,2024,02.09.08.016.00,Удобрение 38,12420.57,кг,13.0,2024-07-05,0.87
19685,2024,02.09.08.016.00,Удобрение 23,1242.06,л,1.3,2024-07-05,0.87
2422,2023,02.09.08.017.00,Удобрение 57,1322718.4,кг,130.0,2023-04-13,1.1546153846153846
2423,2023,02.09.08.017.00,Удобрение 57,1124370.0,кг,130.0,2023-04-13,1.1546153846153846
2593,2023,02.09.08.017.00,Удобрение 57,1148680.0,кг,130.0,2023-04-16,1.1546153846153846
2594,2023,02.09.08.017.00,Удобрение 57,499720.0,кг,130.0,2023-04-16,1.1546153846153846
4639,2023,02.09.08.017.00,Удобрение 57,1275067.42,кг,238.55,2023-05-09,1.1546153846153846
4640,2023,02.09.08.017.00,Удобрение 57,1007873.75,кг,238.55,2023-05-09,1.1546153846153846
4641,2023,02.09.08.017.00,Удобрение 57,2312592.35,кг,238.55,2023-05-09,1.1546153846153846
4642,2023,02.09.08.017.00,Удобрение 57,3062240.11,кг,238.55,2023-05-09,1.1546153846153846
18523,2024,02.09.08.017.00,Удобрение 23,1404.57,л,1.3,2024-06-10,1.02
18579,2024,02.09.08.017.00,Удобрение 23,5835.7,л,1.3,2024-06-11,1.02
18630,2024,02.09.08.017.00,Удобрение 23,13000.0,л,1.3,2024-06-12,1.02
18631,2024,02.09.08.017.00,Удобрение 23,5835.7,л,1.3,2024-06-12,1.02
19584,2024,02.09.08.017.00,Удобрение 38,525213.0,кг,13.0,2024-07-03,1.02
19585,2024,02.09.08.017.00,Удобрение 23,52521.3,л,1.3,2024-07-03,1.02
19652,2024,02.09.08.017.00,Удобрение 38,288109.6,кг,13.0,2024-07-04,1.02
19653,2024,02.09.08.017.00,Удобрение 23,28810.96,л,1.3,2024-07-04,1.02
2595,2023,02.09.08.020.00,Удобрение 57,346401.17,кг,130.0,2023-04-16,1.0542857142857143
4643,2023,02.09.08.020.00,Удобрение 57,635646.15,кг,238.55,2023-05-09,1.0542857142857143
18632,2024,02.09.08.020.00,Удобрение 23,3464.01,л,1.3,2024-06-12,18.31
19586,2024,02.09.08.020.00,Удобрение 23,3464.01,л,1.3,2024-07-03,18.31
19587,2024,02.09.08.020.00,Удобрение 38,34640.12,кг,13.0,2024-07-03,18.31
19588,2024,02.09.08.022.00,Удобрение 23,7001.92,л,1.3,2024-07-03,0.26
19589,2024,02.09.08.022.00,Удобрение 38,70019.2,кг,13.0,2024-07-03,0.26
2602,2023,02.09.08.023.00,Удобрение 57,45362.51,кг,130.0,2023-04-17,2752.5342857142855
4354,2023,02.09.08.023.00,Удобрение 57,83240.21,кг,238.55,2023-05-07,2752.5342857142855
19590,2024,02.09.08.023.00,Удобрение 23,453.63,л,1.3,2024-07-03,
19591,2024,02.09.08.023.00,Удобрение 38,4536.25,кг,13.0,2024-07-03,
2688,2023,02.09.08.028.00,Удобрение 57,711880.0,кг,130.0,2023-04-18,
2689,2023,02.09.08.028.00,Удобрение 57,437320.0,кг,130.0,2023-04-18,
4760,2023,02.09.08.028.01,Удобрение 57,391861.79,кг,238.55,2023-05-10,267.7628571428571
